""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"2-D46"	112325	105687	105321	105484	92900	70543
"2-D47"	84620	80689	80381	80571	74809	56692
"2-D4AM"	110487	96671	96434	96237	83256	72330
"2-D4PM"	76286	68417	68103	68147	61261	51577
"2-D5"	71292	65522	65219	65390	60822	50721
"2-D50AM"	66306	62014	61836	61835	57580	51128
"2-D50PM"	71715	66573	66258	66405	59712	50819
"2-D51AM"	51366	48233	48043	48134	43430	35840
"2-D51PM"	52099	49646	49392	49545	46205	38375
"2-D52AM"	80481	71007	70835	70713	60704	51491
"2-D52PM"	58031	52890	52658	52725	47975	38818
"2-D53"	76736	68693	68175	68420	61234	48961
"2-D54"	57104	52730	52414	52542	46963	37163
"2-D57AM"	54213	50379	49988	50168	45219	35135
"2-D57PM"	37764	35195	35027	35090	31703	25235
"2-D58AM"	69329	64053	63643	63844	57311	42126
"2-D58PM"	63415	58840	58495	58668	50500	38403
"2-D59AM"	39959	37990	37700	37907	34378	25433
"2-D59PM"	38539	36821	36668	36747	33643	26852
"2-D6"	72854	66229	65854	66047	58921	48170
"2-D60AM"	61567	57373	56986	57206	50963	36002
"2-D60PM"	76274	72846	72430	72639	65051	50663
"2-D61"	75670	70274	69889	70078	63623	47187
"2-D62"	53243	49684	49503	49563	45321	35992
"2-D63"	48364	45937	45498	45790	40910	25899
"2-D64AM"	55562	52852	52583	52753	48483	35722
"2-D64PM"	46903	44329	44131	44245	39340	31187
"2-D7"	93392	84268	83722	83939	74604	59321
"2-D8"	33371	31084	31011	31027	28757	25200
"2-D9"	56075	52130	51755	51980	47945	37765
"3-D0AM"	5231	4579	4529	4545	4013	3974
"3-D0PM"	45985	41888	41600	41792	30659	26764
"3-D10"	66459	60972	60546	60780	54556	42258
"3-D11"	75702	70954	70621	70778	65493	52585
"3-D14"	96654	85553	84980	85165	73940	60144
"3-D16"	82273	57072	56901	56321	44282	37689
"3-D18"	130278	121553	120879	121137	110316	89490
"3-D1AM"	58010	51659	51379	51315	43949	34947
"3-D1PM"	64305	57400	57279	57187	50930	44273
"3-D21AM"	148640	138657	137561	138276	125553	96692
"3-D21PM"	141234	131249	130388	130875	118284	91816
"3-D22AM"	71587	67975	67199	67762	62742	52397
"3-D22PM"	52375	48526	48013	48343	44271	39256
"3-D23AM"	58464	53872	53188	53618	48134	41463
