""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"5-D3PM"	78670	69772	69575	69500	59894	51132
"5-D42AM"	84978	75743	75382	75539	70343	57466
"5-D42PM"	87551	79036	78722	78761	71679	57640
"5-D43AM"	79290	72199	71935	71942	66103	51627
"5-D43PM"	65424	60353	60159	60146	55288	44326
"5-D44AM"	56844	52755	52658	52651	48166	40167
"5-D44PM"	95627	86777	86439	86448	77257	60680
"5-D45AM"	66035	62172	61925	62007	58810	46752
"5-D45PM"	65284	61144	60984	60997	57582	46796
"5-D46"	94290	88647	88383	88415	81292	63510
"5-D47"	125800	117412	116867	117067	107474	83342
"5-D4AM"	84754	75561	75047	75211	66069	54251
"5-D4PM"	92978	85918	85269	85617	77783	61832
"5-D5"	92055	83345	82618	82989	73410	59328
"5-D50AM"	69072	64687	64337	64453	59476	44745
"5-D50PM"	77529	71135	70772	70930	62634	47908
"5-D51AM"	64814	60971	60594	60788	56646	43935
"5-D51PM"	60275	56424	56163	56240	52255	40652
"5-D52AM"	70860	65049	64848	64859	58293	48595
"5-D52PM"	74725	67419	67071	67157	58524	46019
"5-D53"	72289	65078	64672	64825	58591	44143
"5-D54"	63163	56562	56302	56276	50739	42029
"5-D57AM"	67921	62845	62408	62475	56187	43033
"5-D57PM"	67287	61869	61434	61645	55976	41248
"5-D58AM"	51732	48051	47844	47913	43893	34833
"5-D58PM"	62924	58483	58042	58292	52608	38586
"5-D59AM"	62409	58867	58521	58509	52179	41525
"5-D59PM"	69955	65102	64587	64909	58486	44237
"5-D6"	91927	83742	83125	83411	72025	57130
"5-D60AM"	36044	33547	33402	33447	30515	24638
"5-D60PM"	57865	55195	54844	55054	50644	40562
"5-D61"	84425	78846	78386	78573	70216	54206
"5-D62"	51318	48342	48027	48202	44271	35139
"5-D63"	54597	51862	51456	51673	46818	35421
"5-D64AM"	47270	44568	44359	44449	40436	32359
"5-D64PM"	49350	46614	46386	46496	42644	34578
"5-D7"	78755	71131	70631	70831	63630	51784
"5-D8"	35751	32970	32905	32906	31048	27604
"5-D9"	63119	58064	57633	57821	52052	40425
"inoculum1-5"	34276	32522	31672	32278	29187	25362
"M2-D10-1A"	81221	75742	75366	75504	71347	60455
"M2-D10-1B"	86852	81358	80895	81066	76717	65258
"M2-D10-2A"	97014	91016	90526	90754	86049	73851
"M2-D10-2B"	88279	81970	81508	81671	76199	65749
"M2-D10-3A"	89381	83625	83300	83375	79356	67499
"M2-D10-3B"	101825	95386	94930	95059	90150	77067
"M2-D8-1A"	79141	74743	74297	74455	71213	60189
"M2-D8-1B"	78989	74746	74274	74500	71325	60833
"M2-D8-2A"	90652	85907	85429	85581	81717	69708
"M2-D8-2B"	93297	87639	87110	87278	81718	69458
"M2-D8-3A"	91712	86881	86425	86627	82260	69128
"M2-D8-3B"	105965	100521	99993	100257	95806	82624
"M2-D9-1A"	90845	86149	85667	85902	82156	70387
"M2-D9-1B"	82071	77664	77256	77383	74087	63022
"M2-D9-2A"	124952	118720	117933	118360	112815	92575
"M2-D9-2B"	87309	82581	82166	82288	78770	68217
"M2-D9-3A"	110523	104897	104328	104605	99934	86695
"M2-D9-3B"	80303	76458	76097	76263	73622	65067
